,character,line #,line
106,OLD MAN CAPO,106,I can't contest the cards.
107,GAGGI,107,"Va fa 'n culo! [Italian-American
slang for 'Fuck off']"
108,GAGGI,108,Johnny!
109,NICKY (V.O.),109,"Ace made more money for them on a
weekend than I could do heisting
joints for a month."
110,NICKY (V.O.),110,"Whatever Ace picked up on the street
he told Remo."
111,NICKY,111,"Hey, did you bring that thing?"
112,NICKY (V.O.),112,"You know, I mean fixed fights, doped
horses, crooked fuckin' zebras...
locked-in point spreads. He told
fuckin' Remo everything. And to tell
you the truth. I don't blame him."
113,GAGGI,113,Ace.
114,NICKY (V.O.),114,"Keepin' Remo happy with money was
the greatest insurance policy in the
world."
115,GAGGI,115,"Son-of-a-bitch. How the hell did you
get Oklahoma-Michigan?  Nobody ever
had Oklahoma-Mi... How the hell'd
you do it?"
116,ACE,116,"Well, that's why they paid so well."
117,GAGGI,117,You see?
118,GAGGI,118,"Never tells me nothin'. Ace, what do
we got on for next week?"
119,ACE,119,"Well, it's a little too early. I'd
say Thursday would be good. I'll
know by then. Is that all right?"
120,GAGGI,120,Okay. You come by the house?
121,ACE,121,I'll come by.
122,GAGGI,122,Seven o'clock?
123,ACE,123,Seven o'clock.
124,GAGGI,124,"Good job, my boy. Keep it up. Okay,
Ace?"
125,GAGGI,125,"Hey, Nick. Vien acca. [Italian-
American slang for 'Come here']"
126,NICKY,126,I'll be right out.
127,GAGGI,127,"T'aggia parla. [Italian-American
slang for 'I've got to talk to you']
Nicky... See that guy?"
128,NICKY,128,Mm.
129,GAGGI,129,"Keep a good eye on him. He's makin'
a lot of money for us. And he's gonna
continue makin' a lot of money for
us, so keep a good eye on him."
130,NICKY,130,Mm.
131,GAGGI,131,"Not like your fuckin' friends out
there, that... without brains.  Okay?"
132,NICKY,132,All right.
133,GAGGI,133,"Uh-huh. Mi raccomando. [Italian-
American slang for 'I'm counting on
you']"
134,NICKY,134,Yeah.
135,GAGGI,135,Fine.
136,NICKY,136,Want me to take this for you?
137,NICKY (V.O.),137,"So, now, on top of everything else,
I gotta make sure that nobody fucks
around with the Golden Jew."
138,JOE,138,"Chase, couple of shooters for the
ladies."
139,BARTENDER (O.S.),139,All right.
140,ACE (V.O.),140,"Yeah, we made a great pair. I made
book and Nicky made sure we always
collected. The old men loved us. And
why not? They all made money with
us."
141,NICKY,141,They payin'?
142,ACE (V.O.),142,How did Nicky collect?
143,MARINO,143,"They pay every week, like they're
supposed to."
144,ACE (V.O.),144,Don't ask.
145,NICKY,145,"Then where the fuck is the money? I
don't see the money."
146,ACE,146,"Hi, Melissa. Heidi."
147,BLONDE,147,"Hi, Sam."
148,JOE,148,Who's this guy?
149,MARINO,149,"Get the fuck out of here. It was
nine. I laid nine."
150,NICKY,150,"It was eight.  Ace... tell him the
line on the Bear's game."
151,ACE,151,Eight.
152,NICKY,152,"If he don't know, nobody knows. Told
you it was eight."
153,MARINO,153,"Well, how come I laid nine?"
154,NICKY,154,"'Cause you're a jag-off. I would
have fuckin' made you lay ten..."
155,ACE,155,Excuse me.
156,JOE,156,What?
157,ACE,157,Is this yours? Your pen?
158,JOE,158,"Yeah, that's my pen. Why?"
159,ACE,159,"I ju- Well, it's a nice pen. I just
didn't know whose it was. I thought
it was yours. I didn't want it to
get lost."
160,JOE,160,"Well, thank you. Why don't you take
that fuckin' pen and shove it up you
ass, you fuckin' jag-off?"
161,ACE,161,"Well, I was just offering you the-"
162,JOE,162,This fuckin' asshole.
163,MAN #1,163,Look out!
164,MAN #1,164,"Joe! Look out, Joe! Look out!"
165,NICKY,165,"What's that? You hear? You hear a
little girl, Frankie? You hear a
little girl, Ace? Is that a little
fuckin' girl?!  What happened to the
fuckin' tough guy?  Told my friend
stick it up his fuckin' ass?! Huh?!
Huh?!"
166,ACE,166,"Wait a sec, Nicky, Nicky, Nicky. Ta-
take it easy."
167,ACE (V.O.),167,"While I was tryin' to figure out why
the guy was sayin' what he was sayin',
Nicky just hit him. No matter how
big a guy might be, Nicky would take
him on. You beat Nicky with fists,
he comes back with a bat. You beat
him with a knife, he comes back with
a gun. And you beat him with a gun,
you better kill him, because he'll
keep comin' back and back until one
of you is dead."
168,NICKY (V.O.),168,Listen...
169,NICKY (V.O.),169,"...with me protecting Ace, he made a
fortune for the bosses. I mean that's
what got him to Vegas. He was a money
machine. A tremendous earner for
these guys.  As soon as he took over,
he doubled the fuckin' drop. With
Ace the casino never saw so much
money. And the bosses, they couldn't
be happier."
170,ACE (V.O.),170,"In Vegas, I had to keep a few juiced-
in local cowboys working. They were
close to the, you know, good old
boys."
171,ACE,171,"Pay him six hundred a week, tell him
to walk around and look smart."
172,ACE (V.O.),172,"I mean, without us, these guys, they'd
still be shovellin' mule shit."
173,ACE,173,"Ward, you gotta keep a cleaner
station. If you need 'Mr Clean',
page him, all right?"
174,WARD,174,"It won't happen again, Sam."
175,ACE,175,Mr Rothstein.
176,ACE,176,"Is this guy just another dumb fuckin'
white man, or what? What's his story?"
177,SHERBERT,177,We need this guy.
178,ACE,178,We can't get rid of him?
179,SHERBERT,179,"He's juiced in. He's the County
Commissioner's cousin."
180,ACE,180,I wouldn't give the bum a mop job.
181,ACE (V.O.),181,These yokels ran the state.
182,DEALER #1,182,"Thank you very much, Senator."
183,ACE (V.O.),183,"They passed the laws, they owned the
courts."
184,SENATOR,184,"Hi, Ace."
185,ACE,185,"Hello, Senator."
186,SENATOR,186,"Hey, I need a room. Need a room."
187,ACE,187,Good to see ya.
188,ACE,188,William would you...
189,ACE (V.O.),189,"I had dozens of politicians and state
officials comin' through that place
every week."
190,SHERBERT,190,"Nice to see you, Senator."
191,ACE,191,"Help the Senator, give him whatever
he wants."
192,SHERBERT,192,Certainly.
193,SHERBERT,193,Senator.
194,ACE (V.O.),194,Why not make them happy?
195,SHERBERT,195,"We have some nice penthouses you'll
enjoy. Maybe the Presidential Suite."
196,ACE (V.O.),196,For politicians...
197,ACE (V.O.),197,"...like our state senator up there,
everything was on the house."
198,ACE (V.O.),198,"These guys won their comped life
when they got elected. So, hey, why
not take advantage of it? Still, the
politicians come cheap. We could
handle them."
199,ACE (V.O.),199,"It's a whale like K. K. Ichikawa,
who plays thirty thousand dollars a
hand in baccarat. That's the one you
really gotta watch."
200,ACE (V.O.),200,"He plays fast and big and he has the
cash and the credit to turn out your
lights. About a year ago, he cleaned
out a couple of casinos in the Cayman
Islands."
201,ACE (V.O.),201,"Downstairs, he takes us for two
million... and upstairs he takes
free soap, shampoo and towels. Another
billionaire cheapskate who loves his
free rooms..."
202,ACE (V.O.),202,"...free private jets, and two million
of our money."
203,ACE,203,Nice to see you again.
204,ACE (V.O.),204,"But we got him back. I had our pilot
tell him the plane was on the fritz."
205,SHERBERT,205,"Ken, I don't know what the hell went
wrong. I'm awfully sorry."
206,ICHIKAWA,206,This is a big problem. Big problem.
207,SHERBERT,207,"I can't understand it. These
mechanical things, you know, they
happen. Hey, be-better here than"
208,SHERBERT,208,"up there, you know what I mean?"
209,ACE (V.O.),209,"Then he missed the commercial flights
connecting with Japan."
210,AGENT,210,"I'm so sorry. There's a convention
in town, and all flights are booked."
211,SHERBERT,211,A convention?
212,SHERBERT,212,"I can't believe that there's a
convention. It's never... ?"
213,ICHIKAWA,213,What can I do?
214,ACE (V.O.),214,"We got him back ...with a whole floor
of rooms for himself."
215,ACE,215,I'm sorry you missed the plane.
216,ICHIKAWA,216,"You want to get my money back, right?"
217,ACE,217,"No, no, no. No gambling. No."
218,ACE (V.O.),218,"He bet one thousand a hand instead
of his usual thirty thousand a hand."
219,DEALER,219,"The bank wins a natural eight over a
five."
220,ACE (V.O.),220,"But I knew, the trick with whales
like Ichikawa was that they can't
bet small for long. He didn't think
of it as winning ten thousand, he
thought of it as losing ninety
thousand."
221,ACE (V.O.),221,"So, he upped his bets..."
222,ACE (V.O.),222,"...until he dropped his winnings
back and gave up a million of his
own cash."
223,ACE (V.O.),223,"In the casino, the cardinal rule is
to keep them playing..."
224,ACE (V.O.),224,"...and keep them coming back. The
longer they play, the more they lose.
In the end, we get it all."
225,ACE (V.O.),225,"In Vegas, everybody's gotta watch
everybody else."
226,DEALER,226,"Six, an easy way. Six! All right,
who's gonna give me..."
227,ACE (V.O.),227,"Since the players are looking to
beat the casino..."
228,DEALER,228,"...both dice must hit that back wall
each and every roll. All right, make
a six!"
229,ACE (V.O.),229,"...the dealers are watching the
players."
230,WOMAN,230,Gimme a six!
231,DEALER,231,"Come on, baby, make a six!"
232,ACE (V.O.),232,The box men are watching the dealers.
233,ACE (V.O.),233,"The floor men are watching the box
men."
234,ACE (V.O.),234,"The pit bosses are watching the floor
men."
235,ACE (V.O.),235,"The shift bosses are watching the
pit bosses."
236,ACE (V.O.),236,"The casino manager is watching the
shift bosses."
237,ACE (V.O.),237,I'm watching the casino manager.
238,ACE (V.O.),238,"And the eye-in-the-sky is watching
us all."
239,ACE (V.O.),239,Plus...
240,ACE (V.O.),240,"...we had a dozen guys up there,
most of them ex-cheats, who knew
every trick in the house."
241,HIGH ROLLER,241,"Come on, come on."
242,GINGER,242,Yes!
243,HIGH ROLLER,243,Thank you. Very nice.
244,GINGER,244,I told you I was hot tonight.
245,HIGH ROLLER,245,"Let's go. This is for Ginger. Come
on. This is for Ginger."
246,GAMBLER #1,246,"Let me have a hundred on the hard
ten. Thank you."
247,GAMBLER #2,247,Hard ten. One hundred.
248,HIGH ROLLER,248,I'm sorry.
249,GINGER,249,"Oh, I'm sorry. I'm sorry."
250,GINGER,250,"Thank you very much. Thank you very
much."
251,GINGER,251,"Thank you, sir, I appreciate that.
Everybody, thanks. Gives some chips
as tips to the dealer and box man.
Thanks. Take care, Steve. Take chances
and drive fast."
252,HIGH ROLLER,252,"Ginger, honey."
253,DEALER,253,"Thank you very much, now."
254,HIGH ROLLER,254,"Ginger, honey, this is for you love.
Thanks for your time."
255,GINGER,255,Come on.
256,HIGH ROLLER,256,What's the matter?
257,GINGER,257,"What do you mean, 'What's the matter?'
I made a lot of money for you. I
want my cut."
258,HIGH ROLLER,258,"What money? I've seen you stealing
from me."
259,GINGER,259,"What money?  Look at this stack of
chips. Don't give me that shit. I
want my end."
260,HIGH ROLLER,260,"Ginger, I've been watching you all
night. You've been stealing from me."
261,GINGER,261,"Don't give me that shit. I want my
money."
262,HIGH ROLLER,262,That bag's full of fuckin' chips you
263,GINGER,263,"What do you mean 'stole'? I didn't
steal anything from you."
264,HIGH ROLLER,264,"Get lost, Ginger! Get lost!"
265,GINGER,265,Get lost?
266,HIGH ROLLER,266,Yes.
267,GINGER,267,Get lost?
268,HIGH ROLLER,268,Yes.
269,GINGER,269,"Well, how 'bout that?"
270,HIGH ROLLER,270,Come on!
271,ACE (V.O.),271,"What a move. I fell in love right
there."
272,ACE (V.O.),272,"But in Vegas, for a girl like Ginger,
love costs money."
273,GINGER,273,I'm going to go powder my nose.
274,ACE (V.O.),274,Ginger's mission in life was money.
275,GINGER,275,I'll be right back.
276,ACE (O.S.),276,"See you, Ginger."
277,GINGER,277,"Okay, thank you for asking."
278,ACE (V.O.),278,"She was a queen around the casino.
She brought in high rollers and helped
them spread around a lot of money."
279,GINGER,279,Hello.
280,VALET PARKER,280,"Hey, Ginger, how you doin'?"
281,GINGER,281,Great.
282,GINGER,282,"And I have something for you. You
got me covered?"
283,VALET PARKER,283,"Yes. Something for you, there."
284,GINGER,284,And you do. Thank you very much.
285,VALET PARKER,285,Take care of yourself.
286,GINGER,286,"I got some lucky pills for you, honey."
287,HIGH ROLLER #2,287,"Oh, yeah?"
288,ACE (V.O.),288,"Who didn't want Ginger? She was one
of the best-known, best-liked and
most respected hustlers in town.
Smart hustlers like her could keep a
guy awake for two or three days before
sending him home broke to the little
woman and his bank examiners."
289,ACE,289,Any change?
290,GINGER,290,"I hit a few... uh, games on the way
back."
291,ACE (V.O.),291,"That was all bullshit. She just
pocketed the cash."
292,GINGER,292,How you doin' tonight?
293,CASHIER,293,Good. How are you?
294,GINGER,294,"Oh, beat."
295,ACE (V.O.),295,Ginger had the hustler's code.
296,CASHIER,296,Okay.
297,GINGER,297,Take one for you.
298,CASHIER,298,Thank you.
299,ACE (V.O.),299,"She knew how to take care of people.
And that's what Vegas was all about."
300,CASHIER,300,Sixty-eight hundred.
301,GINGER,301,Thanks
302,CASHIER,302,You're welcome.
303,ACE (V.O.),303,It's Kickback City.
304,GINGER,304,You have a good night.
305,CASHIER,305,Thank you. You too.
306,ACE (V.O.),306,She took care of the dealers...
307,GINGER,307,"Hey, Mitch."
308,ACE (V.O.),308,"...pit bosses, floor managers."
309,GINGER,309,Thank you.
310,ACE (V.O.),310,But mostly...
311,ACE (V.O.),311,"...she took care of the valet parkers,
the guys who could get you anything
and take care of anything."
312,GINGER,312,Thanks a lot.
313,SHIFT BOSS,313,"Thank you, Ginger."
314,ACE (V.O.),314,"Ginger took care of the parkers
because they took care of the security
guards, who took care of the metro
cops, who let her operate."
315,VALET PARKER #3,315,"Thank you, Ginger."
316,GINGER,316,I need that stuff tonight.
317,VALET PARKER #3,317,No problem.
318,GINGER,318,You're a doll.
319,ACE (V.O.),319,"The valet parking job was such a
money-maker that they had to pay off
the hotel manager just to get the
concession."
320,ACE (V.O.),320,"But one thing I could never
understand, was that she could have
everything under control, except for
her old pimp boyfriend, Lester
Diamond."
321,LESTER,321,"Look, Gin, you know I got other people
in this. I got partners. But I want
you to understand that I am lookin'
out for you in this thing.  Okay?
You're going to get yours back...
and you're gonna get it back first.
Okay?"
322,GINGER,322,All right.
323,LESTER,323,Okay?
324,GINGER,324,Yeah.
325,LESTER,325,"Where are you goin'? Where are you?
You're in that place. Where are you?"
326,GINGER,326,I'm here.
327,LESTER,327,"No, you're not. Where are you? Where
are you?"
328,GINGER,328,I'm always here for you.
329,LESTER,329,You are.
330,GINGER,330,I am.
331,ACE (V.O.),331,"The Ginger I knew wouldn't even look
at this creep."
332,GINGER,332,Good luck.
333,LESTER,333,Yeah.
334,ACE (V.O.),334,"He was a moocher, a card cheat, a
country-club golf hustler. A
scumbag... chasing dentists for a
few bucks."
335,GINGER,335,Careful.
336,ACE (V.O.),336,"I mean, the guy was always broke, he
always had a story. And somehow, she
could never turn him down. The way
Ginger saw it, I guess, was that
Lester was just an unlucky guy.
Somebody had to take care of him."
337,ACE (V.O.),337,But nobody had to take care of Nicky.
338,NICKY,338,"You find any cash in there, we'll
whack it up with you."
339,ACE (V.O.),339,"I mean, he took care of himself only
too well. And that's why every badge
back home wanted to nail him."
340,JENNIFER,340,"Excuse me, but I folded these things
beautifully and I would appreciate a
little respect. Jesus Christ!"
341,NICKY,341,"Don't look at me, pal. I gotta live
with her."
342,ACE (V.O.),342,"Even after a little vacation, they
hassled him at the airport."
343,COP #1,343,Excuse me.
344,ACE (V.O.),344,"I mean, Frank Marino was there to
meet him, but so were the cops. This
time they wanted to pinch him for
some diamond burglary in Antwerp."
345,JENNIFER,345,"Oh, yes. Will you help me fold these,
please?"
346,ACE (V.O.),346,"They were ready to blame him for
anything, no matter where it happened."
347,JENNIFER,347,You go and put your things away.
348,ACE (V.O.),348,And they were usually right.
349,MARINO,349,"Whoa, whoa, whoa."
