,character,line #,line
200,NEIL,200,"Swimming pools. Institutional.
Schools, State, counties. I'm
on the sales end."
201,NEIL (CONT'D),201,Let me have another coffee.
202,NEIL (CONT'D),202,You like selling books?
203,EADY,203,"Yeah. Especially fine art books.
I study them."
204,NEIL,204,Yeah?   Like what?
205,NEIL,205,Tell me.
206,EADY,206,"There's a Skira edition of
Delacroix charcoal sketches, I
like..."
207,NEIL,207,What else?
208,EADY,208,Asian art work.
209,EADY (V.O.),209,"The plates are mezzotints. They
evoke a feeling Japanese painters
called ""sabi"". They believed
there were eight scenes of
transcendental loneliness. They
painted them over and over again.
One is a flock of geese hovering
over a field. There's always
mist. It's painted just as the
leader touches down."
210,NEIL,210,City of lights.
211,EADY,211,Yeah.
212,NEIL,212,"I flew over the arctic once at
40,000 feet. The moonlight was
blue on all the snow. It felt
like that."
213,EADY,213,Do you travel a lot?
214,NEIL,214,Yeah.
215,EADY,215,Are you lonely?
216,NEIL,216,I'm alone.    Not lonely.
217,NEIL,217,You?
218,EADY,218,I get lonely.
219,HANNA,219,"You were supposed to get back to
me last night. So where the
fuck were you, Albert?"
220,ALBERT,220,"I couldn't break free, man!"
221,HANNA,221,"I oughta violate your ass right
now."
222,ALBERT,222,"I was all night hitting up Los
vatos like one of those flamenco
matador guys. Cuttin' in real
smooth. Generating leads and
shit. I'm a dancer, man!"
223,HANNA,223,"You're a bust-out speed freak
jackin' metamphetamine again."
224,HANNA,224,I'm in a hurry.
225,ALBERT,225,"You talk to my brother, Raoul.
He meet you tonight at..."
226,HANNA,226,No.   Right now.
227,ALBERT,227,"I implore him, man. But he say
""no."""
228,ALBERT,228,"He in Phoenix. Tonight's the
best I can do for you. The Zebra
on Crenshaw. Eleven o'clock."
229,HANNA,229,"You be there, too."
230,ALBERT,230,"Mon, I go"
231,HANNA,231,Be there!
232,CEZAR,232,"I picked you out to pitch it to
first, but don't think you're
the only action in town and I'm
giving it away. 'Cause I'm not."
233,NEIL,233,What is it?
234,CEZAR,234,"A bank. On Thursdays it gets
cash deposits for distribution
to other branches. The branches
have to buttress their cash
accounts to handle Friday payroll
checks from a Toyota and Nissan
plant, a steel mill and two
refineries. One day a week,
Thursday, the main branch carries
the full whack."
235,NEIL,235,"You want a $100,000 advance,
against a full 101. Why?"
236,CEZAR,236,"'Cause I can get it. 'Cause
this is the best thing I seen in
three years. 'Cause a screw-up
makes 10 percent of nothin' equal
nothin'. And 'cause those are
the terms and they ain't
negotiable."
237,NEIL,237,On the prowl or strong?
238,CEZAR,238,"Strong. Through the front door.
During the day."
239,NEIL,239,How many guys?
240,CEZAR,240,Four.   Three plus a driver.
241,NEIL,241,"That's not a $100,000 worth
anything. You're giving me an
address to what's strictly a
cowboy score: ""Get the guns and
let's go!"" We smash, grab and
boogie while they hit the alarm."
242,CEZAR,242,"Three alarms. And that's why
the price. 'Cause you chop-in
through the roof the night before
on the prowl and bypass 'em. I
got circuit diagrams, blue prints,
the works. So yeah, they hit
the alarms, but nothing gonna
happen."
243,NEIL,243,Do I have to kill people?
244,CEZAR,244,"I doubt it. Two men have the
two keys to open the box."
245,NEIL,245,"Full architectural, plumbing and
electric, camera placements?"
246,CEZAR,246,All of it.
247,NEIL,247,What do you estimate?
248,CEZAR,248,"Eight point, one. Eight point,
two million dollars."
249,CEZAR,249,Where's Nate?
250,NEIL,250,He hadda make a call.
251,NEIL,251,You're on.
252,NEIL,252,"Here's five grand earnest money.
You get the rest after lunch."
253,NATE,253,"Look, Van Zant. Nobody knew the
merch was yours or they would
have respected it. Be that as
it may: now you get 100% from
the insurance company and you're
even, plus you can get the bonds
back for 60 cents onna dollar.
You make an additional 40%.
Your operation doesn't skip a
beat, and everybody's making
out."
254,VAN ZANT,254,Sure. You got a deal.
255,NATE (0.   S.),255,"Good. Cause there's    no percentage
in everybody getting   their
underwear in a twist   over this."
256,VAN ZANT,256,"Absolutely. You have your man
call me to set the meet."
257,NATE (O.S.),257,Usually I'm the mailman.
258,VAN ZANT,258,"I don't want to involve extra
people. What the fuck do I want
all kinds of people meeting each
other for?"
