,character,line #,line
207,MILES,207,"You think what you're doing now is
helping your case?"
208,COBB,208,"Lawyers don't pay for themselves.
This is what I have. This is what
you taught me."
209,MILES,209,I never taught you to be a thief.
210,COBB,210,"No, you taught me to navigate other
people's minds. But after what
happened with Mal there weren't a
whole lot of legitimate ways for me
to use that skill."
211,MILES,211,"Why did you come here, Dom?"
212,COBB,212,"I found a way home. A job. For
powerful people. If I pull it off,
I can get back to my family. But I
need help."
213,MILES,213,"My God. You're here to corrupt one
of my brightest and best."
214,COBB,214,"If you have someone good enough,
you have to let them decide for
themselves. You know what I'm
offering-"
215,MILES,215,Money?
216,COBB,216,"No, not just money: the chance to
build cathedrals, entire cities-
things that have never existed,
things that couldn't exist in the
real world..."
217,MILES,217,"Everybody dreams, Cobb. Architects
are supposed to make those dreams
real."
218,COBB,218,"That's not what you used to say.
You told me that in the real world
I'd be building attic conversions
and gas stations. You said that if
I mastered the dream-share I'd have
a whole new way of creating and
showing people my creations. You
told me it would free me."
219,MILES,219,And I'm sorry. I was wrong.
220,COBB,220,"No, you weren't. Your vision was a
vision of pure creativity. It's
where we took it that was wrong."
221,MILES,221,"And now you want me to let someone
else follow you into fantasy."
222,COBB,222,"They won't actually come on the
job, they'll just design the levels
and teach them to the dreamers."
223,MILES,223,Design them yourself.
224,COBB,224,Mal won't let me.
225,MILES,225,"Come back to reality, Dom. Please."
226,COBB,226,"You want to know what's real,
Stephen? Your grandchildren waiting
for their dad to come back."
227,COBB (CONT'D),227,"This job-this last job-is how I get
there."
228,COBB,228,"I wouldn't be standing here if
there were any other way. I can get
home. But I need an architect who's
as good as I was."
229,MILES,229,I've got someone better.
230,MILES,230,Ariadne...
231,MILES,231,I'd like you to meet Mr. Cobb.
232,ARIADNE,232,Pleased to meet you.
233,MILES,233,"If you have a few moments, Mr. Cobb
has a job offer to discuss with
you."
234,ARIADNE,234,A work placement?
235,COBB,235,Not exactly.
236,COBB,236,A test.
237,ARIADNE,237,"Aren't you going to tell me
anything?"
238,COBB,238,"Before I describe the job, I have
to know you could do it."
239,ARIADNE,239,Why?
240,COBB,240,"It's not, strictly speaking, legal."
241,COBB,241,"You have two minutes to draw a maze
that takes me one minute to solve."
242,COBB,242,Go.
243,COBB,243,Stop.
244,COBB,244,Again.
245,COBB,245,Stop.
246,COBB,246,You'll have to-
247,COBB,247,More like it.
248,COBB,248,"They say we only use a fraction of
the true potential of our brains...
but they're talking about when
we're awake. While we dream, the
mind performs wonders."
249,ARIADNE,249,Such as?
250,COBB,250,"How do you imagine a building? You
consciously create each aspect,
puzzling over it in stages... But
sometimes, when your imagination
flies-"
251,ARIADNE,251,I'm discovering it.
252,COBB,252,Exactly. Genuine inspiration.
253,COBB,253,"In a dream your mind continuously
does that..."
254,COBB,254,"It creates and perceives a world
simultaneously. So well that you
don't feel your brain doing the
creating. That's why we can short-
circuit the process..."
255,ARIADNE,255,How?
256,COBB,256,By taking over the creating part.
257,COBB,257,"This is where you come in. You
build the world of the dream. We
take the subject into that dream,
and let him £111 it with his
subconscious"
258,ARIADNE,258,"But are you trying to fool him that
the dream is actually real life?"
259,COBB,259,"While we're in there, We don't want
him to realize he's dreaming."
260,ARIADNE,260,"How could I ever get enough detail
to Convince him that it's real?"
261,COBB,261,"Our dreams reel real while we're in
them. It's only when we wake up we
realize things were strange,"
262,ARIADNE,262,"But all the textures of real life-
the stone, the fabric. cars...
people... your mind can't create
all this."
263,COBB,263,"It does. Every time you dream. Let
me ask you a question: You never
remember the beginning of your
dreams, do you? You just turn up in
the middle of what's going on."
264,ARIADNE,264,I guess.
265,COBB,265,"So... how did we end up at this
restaurant?"
266,ARIADNE,266,We came here from...
267,COBB,267,How did we get here? Where are we?
268,ARIADNE,268,Oh my God. We're dreaming.
269,COBB,269,"Stay calm. We're actually asleep in
the workshop. This is your first
lesson in shared dreaming,
remember?"
270,ARIADNE,270,"If it's just a dream, why are you
covering your-"
271,COBB (O.S.),271,Because it's never just a dream.
272,COBB,272,"And a face full of glass hurts like
hell, doesn't it? While we're in
it, it's real."
273,ARTHUR,273,"That's why the military developed
dream sharing-a training program
where soldiers could strangle, stab
and shoot each other, then wake up."
274,ARIADNE,274,How did architects get involved?
275,COBB,275,Someone had to design the dreams.
276,COBB,276,Let's go another five minutes-
277,ARIADNE,277,"We were only asleep for five
minutes? We talked for an hour at
least..."
278,COBB,278,"When you dream, your mind functions
more quickly, so time seems to pass
more slowly."
279,ARTHUR,279,"Five minutes in the real world
gives you an hour in the dream."
280,COBB,280,"Let's see how much trouble you can
cause in five minutes."
281,COBB,281,"It's good. You've got the cafe, the
layout... you forgot the book shop
but pretty much everything else is
here."
282,ARIADNE,282,Who are the people?
283,COBB,283,"They're projections of my
subconscious."
284,ARIADNE,284,Yours?
285,COBB,285,"Sure-you are the dreamer, I am the
subject. My subconscious populates
your world. That's one way we get
at a subject's thoughts-his mind
creates the people, so we can
literally talk to his subconscious."
286,ARIADNE,286,How else do you do it?
287,COBB,287,"Architecture. Build a bank vault or
a jail, something secure, and the
subject's mind will fill it with
information he's trying to protect."
288,ARIADNE,288,Then you break in and steal it.
289,COBB,289,Exactly.
290,ARIADNE,290,I love the concrete sense of things-
291,ARIADNE,291,"Real weight, you know? I thought a
dream space would be all about the
visual, but it's the feel of
things. Question is, what happens
as you start to mess with
physics..."
292,ARIADNE,292,"It's something, isn't it?"
293,COBB,293,Yes. It is.
294,ARIADNE,294,Why are they looking at me?
295,COBB,295,"Because you're changing things. My
subconscious feels that someone
else is creating the world. The
more you change things, the quicker
the projections converge on you."
296,ARIADNE,296,Converge?
297,COBB,297,"They feel the foreign nature of the
dreamer, and attack-like white
blood cells fighting an infection."
298,ARIADNE,298,They're going to attack us?
299,COBB,299,"Just you, actually."
300,COBB,300,"It's beautiful... but if you keep
on changing things..."
301,ARIADNE,301,"Mind telling your subconscious to
take it easy?"
302,COBB,302,"That's why it's called subconscious.
I don't control it."
303,COBB,303,"Arched stone, iron pillars...
it's..."
304,COBB,304,"I know this bridge. This place is
real-"
305,COBB,305,"You didn't imagine it, you
remembered it..."
306,ARIADNE,306,"I cross it every day on my way to
the college."
307,COBB,307,"Never recreate places from your
memory. Always imagine new places."
308,ARIADNE,308,You have to draw from what you know-
309,COBB,309,"Use pieces-a streetlamp,
phonebooths, a type of brick-not
whole areas."
310,ARIADNE,310,Why not?
311,COBB,311,"Because building dreams out of your
own memories is the surest way to
lose your grip on what's real and
what's a dream."
312,ARIADNE,312,Did that happen to you?
313,COBB,313,"Look, this isn't about me-"
314,ARIADNE,314,"Is that why you need me to build
your dreams?"
315,COBB,315,Leave her alone-
316,ARIADNE,316,"Wake me up, Cobb."
317,COBB,317,"Mal, no!"
318,ARIADNE,318,Wake me up!
319,ARTHUR,319,It's okay.
320,ARIADNE,320,Why couldn't I wake?
321,ARTHUR,321,"The only way to wake from inside
the dream is to die."
322,COBB,322,She'll need a totem.
323,ARIADNE,323,What?
324,ARTHUR,324,"Some kind of personal icon. A small
object that you can always have
with you, and that no one else
knows,"
325,ARIADNE,325,"That's some subconscious you've
got, Cobb."
326,ARIADNE,326,She's a real charmer!
327,ARTHUR,327,Sounds like you've met Mrs. Cobb.
328,ARIADNE,328,She's his wife?
329,ARTHUR,329,"So. A totem. You need something
small, potentially heavy..."
330,ARIADNE,330,Like a coin?
331,ARTHUR,331,"Too common. You need something that
has a weight or movement that only
you know."
332,ARIADNE,332,What's yours?
333,ARTHUR,333,A loaded die.
334,ARTHUR,334,"I can't let you handle it. That's
the point. No one else can know the
weight or balance of it."
335,ARIADNE,335,Why?
336,ARTHUR,336,So when you examine your totem...
337,ARTHUR (O.S.),337,"You know, beyond a doubt, that
you're not in someone else's dream."
338,ARIADNE,338,That's not an issue for me.
339,ARTHUR,339,Why not?
340,ARIADNE,340,"Arthur, maybe you can't see what's
going on, maybe you don't want to.
But Cobb's got problems he's tried
to bury down there. I'm not going
to open my mind to someone like
that."
341,COBB (O.S.),341,She'll be back.
342,COBB,342,"I've never seen anyone pick it up
so fast. And one reality won't be
enough for her now. When she comes
back, get her building mazes."
343,ARTHUR,343,Where will you be?
344,COBB,344,I've got to talk to Eames.
345,ARTHUR,345,"Eames? But he's in Mombasa. Cobol's
backyard."
346,COBB,346,Necessary risk.
347,ARTHUR,347,There are plenty of other thieves.
348,COBB,348,"We don't just need a thief. We need
a forger."
349,COBB (O.S.),349,"Rub them against each other all you
like, they're not going to breed."
350,EAMES,350,You never know.
351,COBB,351,Drink?
352,EAMES,352,You're buying.
353,COBB,353,You're spelling hasn't improved.
354,EAMES,354,Piss off.
355,COBB,355,How's your handwriting?
356,EAMES,356,Versatile.
357,EAMES,357,"Word is, you're not welcome in
these parts."
358,COBB,358,Yeah?
359,EAMES,359,"There's a price on your head from
Cobol Engineering. Pretty big one,
actually."
360,COBB,360,You wouldn't sell me out.
361,EAMES,361,`Course I would.
362,COBB,362,Not when you hear what I'm selling.
363,COBB,363,Inception.
364,COBB,364,"Don't bother telling me it's
impossible."
365,EAMES,365,"It's perfectly possible. Just
bloody difficult."
366,COBB,366,"That's what I keep saying to
Arthur."
367,EAMES,367,"There's a man here. Yusuf. He
formulates his own versions of the
compounds."
368,COBB,368,Let's go see him.
369,EAMES,369,Once you've lost your tail.
370,EAMES,370,"Back by the bar, blue tie. Came in
about two minutes after we did."
371,COBB,371,Cobol Engineering?
372,EAMES,372,They pretty much own Mombasa.
373,COBB,373,"Run interference. We'll meet
downstairs in half an hour."
374,EAMES,374,Back here?
375,COBB,375,Last place they'd expect.
376,EAMES,376,Freddy!
377,EAMES,377,"Freddy Simmonds, it is you!"
378,EAMES,378,"Oh. No, it isn't."
379,COBB,379,Yes?
380,SECOND BUSINESSMAN,380,We need to-
381,SAITO,381,"Care for a lift, Mr. Cobb?"
382,COBB,382,"What brings you to Mombasa, Mr.
Saito?"
383,SAITO,383,I have to protect my investment.
384,EAMES,384,This is your idea of losing a tail?
385,COBB,385,Different tail.
386,ARTHUR,386,He said you'd be back.
387,ARIADNE,387,I tried not to come.
388,ARTHUR,388,"But there's nothing else quite like
it."
389,ARIADNE,389,"No paper, no pens... nothing
between you and raw, direct
creation."
390,ARTHUR,390,"Shall we take a look at paradoxical
architecture?"
391,ARTHUR,391,"You're going to have to master a
few tricks if you're going to build
three complete dream levels."
392,ARIADNE,392,What sort of tricks?
393,ARTHUR,393,"In a dream, you can cheat
architecture into impossible
shapes."
394,ARTHUR (CONT'D),394,"That lets you create closed loops,
like the Penrose Steps. The
infinite staircase."
395,ARTHUR,395,See...
396,ARTHUR,396,"Paradox. A closed loop like this
helps you disguise the boundaries
of the dream you've created."
397,ARIADNE,397,How big do the levels have to be?
398,ARTHUR,398,"Anything from the floor of a
building, to an entire city. But it
has to be complicated enough for us
to hide from the projections."
399,ARIADNE,399,A maze.
400,ARTHUR,400,And the better the maze-
401,ARIADNE,401,"The longer we have before the
projections catch us."
402,ARIADNE,402,"My subconscious seems polite
enough."
403,ARTHUR,403,"You wait, they'll turn ugly. No one
likes to see someone else messing
around in their mind."
404,ARIADNE,404,"Cobb can't build anymore, can he?"
405,ARTHUR,405,"I don't know if he can't, but he
won't. He thinks it's safer if he
doesn't know the layouts."
406,ARIADNE,406,Why?
407,ARTHUR,407,"He won't tell me. I think it's Mal.
I think she's getting stronger."
408,ARIADNE,408,His ex-wife?
