,character,line #,line
241,DENNIS,241,"Taupin, isn't that the guy Moran
picked up the other night?"
242,BRENNA,242,Yeah.
243,DENNIS,243,He'd want to know about all this.
244,BRENNA,244,"Mr. Congeniality?  Let him find his
own clues.  There's a journal article
in this somewhere."
245,DENNIS,245,"Uncle Joey's little girl.  Can't
get the taste out of her mouth."
246,DENNIS,246,"Well, the cream of society awaits."
247,DENNIS,247,If you're ever in the neighborhood...
248,BRENNA,248,Sure.
249,OFFICER,249,They found it.
250,OFFICER,250,"It was about fifty yards down-
stream from the head."
251,OFFICER,251,"Both were cut real clean.  Like the
other ones..."
252,MORAN,252,There's been another murder.
253,TAUPIN,253,My condolences.
254,MORAN,254,Where were you Tuesday night?
255,TAUPIN,255,Home.
256,MORAN,256,A neighbor saw your car leave.
257,TAUPIN,257,He's mistaken.
258,MORAN,258,"Look, I don't know what the hell
you're up to, but I think I've got
a pretty good idea."
259,TAUPIN,259,Do you?
260,MORAN,260,All I need is time.
261,TAUPIN,261,I've got all the time in the world.
262,TAUPIN,262,"Except right now.  If you will excuse
me, Lieutenant."
263,BRENNA,263,Someone beat you.
264,TAUPIN,264,"Have you taken to touring small
town cemetaries, Miss Cartwright?"
265,BRENNA,265,Grave robbers?
266,TAUPIN,266,Probably.
267,BRENNA,267,Who?
268,TAUPIN,268,"People like that rarely leave
business cards."
269,BRENNA,269,Does Carl Smith?
270,TAUPIN,270,"I don't know what you're talking
about."
271,BRENNA,271,"I think you do.  Better yet, I don't
think anything was stolen because
nothing was there in the first place.
And I think Mr. Smith, whoever he is,
now knows that."
272,TAUPIN,272,You have an active imagination.
273,BRENNA,273,I've been to Church Hill.
274,TAUPIN,274,"Miss Cartwright, you are
involving yourself in
matters that do not concern
you.  I strongly suggest you
return to Washington and stay
out of small town cemetaries."
275,BRENNA,275,I could find him.
276,BRENNA,276,I have friends.
277,TAUPIN,277,I doubt that.
278,(beat),278,"Good day, Miss Cartwright."
279,BRENNA,279,What's wrong?
280,TAUPIN,280,Your help may be unneccessary.
281,"VOICE
(o.s.)",281,"Good afternoon, ""Mr. Taupin""."
282,KNIGHT,282,Long time.
283,TAUPIN,283,Not so long.
284,TAUPIN,284,"You've been here from the
start."
285,KNIGHT,285,"My quarry grows clever with
age.  And the others, incompetent."
286,KNIGHT,286,Friend of yours?
287,TAUPIN,287,Of sorts.
288,KNIGHT,288,"I do hope she enjoys a good
show."
289,KNIGHT,289,So now it ends.
290,KNIGHT,290,"Generation upon generation.
Tens of thousands of miles."
291,KNIGHT,291,"You're the last, MacLeod.
Romirez, Lacroux, Neuvich,
those fools that followed
me, their heads all line my
shelf.  All but yours."
292,KNIGHT,292,"Can you feel it, MacLeod?
Can you _feel_ it!"
293,KNIGHT,293,There can be but one.
294,WATCHMAN,294,Hey!  What's going on here?
295,TAUPIN,295,Run!
296,TAUPIN,296,Run!
297,KNIGHT,297,MACLEOD!
298,BRENNA,298,Jesus Christ.
299,TAUPIN,299,"You'll be safe here.  He won't
kill in a church."
300,BRENNA,300,Why not?
301,TAUPIN,301,Tradition.
302,BRENNA,302,What the hell is going on?
303,CONOR,303,Afternoon.
304,ROMIREZ,304,Your name is Conor?
305,CONOR,305,Aye.
306,ROMIREZ,306,"Juan Cid Romirez.  Chief
surveyor and alchemist."
307,CONOR,307,"You're not from these
parts."
308,ROMIREZ,308,"I am from Spain.  And I
would like a moment of
your time."
309,CONOR,309,"I haven't much to offer,
Mr. Romirez from Spain,
but you're welcome to what's
here."
310,ROMIREZ,310,Please go to no trouble.
311,ROMIREZ,311,"Your back, it would seem
perhaps you were injured
in battle?"
312,CONOR,312,"Five years past me clan
fought another over some-
thing I cannot even re-
member."
313,ROMIREZ,313,"Your marks would suggest
great injury."
314,CONOR,314,I was nearly killed.
315,ROMIREZ,315,But you lived.
316,CONOR,316,I did at that.
317,ROMIREZ,317,"And but for a mark you are
well as any man, no?"
318,CONOR,318,Aye.
319,ROMIREZ,319,"I should imagine that your
recovery must have alarmed
your fellow villagers, perhaps
giving them reason to invent
an explanation.  And a solution."
320,CONOR,320,I was driven out.
321,ROMIREZ,321,"And now you live in a small
village miles away from all
you knew."
322,CONOR,322,How can you know this?
323,ROMIREZ,323,"First food, no?  A good meal
makes conversation so much
easier."
324,ROMIREZ,324,"Hmm, que rico.  What is it you
call this?"
325,CONOR,325,Pheasant.
326,ROMIREZ,326,"You Scots have a way with
game.  It still has life in it.
Spirit.  Back home the food
is so...domestic."
327,CONOR,327,Why are you here?
328,ROMIREZ,328,"I was sent by his majesty of
Spain to Inverness as a con-
sultant on matters of metal."
329,CONOR,329,You're a long way from Inverness.
330,ROMIREZ,330,"In my travels I heard the story of
the MacLeod boy struck down and
brought from the hand of
death by powers not of this Earth."
331,CONOR,331,You know me home.  Me name.
332,ROMIREZ,332,It was time for our paths to cross.
333,ROMIREZ,333,You see this?
334,ROMIREZ,334,"When I was a boy a cart driven
by a drunken fool crushed me.  All
thought I would die or be maimed
for life.  But I healed quickly.
And like you I paid the price
for being different."
335,CONOR,335,You are the same?
336,ROMIREZ,336,"Do you ever feel a flow, as if some-
thing were pushing against you?"
337,CONOR,337,Yes.  Always.
338,ROMIREZ,338,Does it change with me in the room?
339,CONOR,339,It is less.
340,ROMIREZ,340,You feel you know me.
341,CONOR,341,I don't know why.
342,ROMIREZ,342,We are brothers.
343,CONOR,343,"He told me there could be only
one."
344,ROMIREZ,344,"Some cling to sanity through time
with the one continuity and trad0
ition their lives have known: The
Game."
345,ROMIREZ,345,"You and I Conor, we are different
from all others around us.  You
know this, you can feel it.  We are
flesh and bone like any man, but
unlike our neighbors we are rather
difficult to injure,"
346,ROMIREZ,346,permanently.
347,CONOR,347,I don't understand.
348,ROMIREZ,348,You are still so very young.
349,CONOR,349,I'm twenty-two.
350,ROMIREZ,350,Not even a single lifetime.
351,ROMIREZ,351,"Conor, you and I, we cannot be
killed."
352,CONOR,352,What?
353,ROMIREZ,353,We are immortal.
354,CONOR,354,"No, that can't be."
355,ROMIREZ,355,It is as you are.
356,CONOR,356,No!
357,ROMIREZ,357,Listen to me.  Hear the words.
358,CONOR,358,This is madness!
359,ROMIREZ,359,It is the truth.
360,CONOR,360,No!
361,MALE VOICE,361,"This is Dr. Wickland at GWU.  Your
test came back today.  You can call
me here at the med center if you
have any questions."
362,SUPERVISOR'S VOICE,362,"Brenna, where the hell are you?
The place is full of cops asking
weird questions.  What's going on?
I've got work stacking up.  Get
in here right away."
363,KNIGHT'S VOICE,363,Brenna.
364,KNIGHT'S VOICE,364,"My quarrel is not with you.  Meet
me."
365,KNIGHT'S VOICE,365,"We have much to talk of, you and
I.  Answers for the young historian."
366,(beat),366,"O'Reily's.  Tonight.  I've grown to
like taverns."
367,SEVERAL LITTLE GIRLS,367,"Happy birthday to you, happy birth-
day to you, happy birthday dear
Brenna, happy birthday to you."
