,character,line #,line
107,THREEPIO,107,"Sir -- not in an environment such as
this -- that's why I've also been
programmed for over thirty secondary
functions that..."
108,OWEN,108,"What I really need is a droid that
understands the binary language of
moisture vaporators."
109,THREEPIO,109,"Vaporators! Sir -- My first job was
programming binary load lifter...
very similar to your vaporators. You
could say..."
110,OWEN,110,Do you speak Bocce?
111,THREEPIO,111,"Of course I can, sir. It's like a
second language for me... I'm as
fluent in Bocce..."
112,OWEN,112,All right shut up!
113,OWEN,113,I'll take this one.
114,THREEPIO,114,"Shutting up, sir."
115,OWEN,115,"Luke, take these two over to the
garage, will you? I want you to have
both of them cleaned up before dinner."
116,LUKE,116,"But I was going into Toshi Station
to pick up some power converters..."
117,OWEN,117,"You can waste time with your friends
when your chores are done. Now come
on, get to it!"
118,LUKE,118,"All right, come on! And the red one,
come on. Well, come on, Red, let's
go."
119,LUKE,119,Uncle Owen...
120,OWEN,120,Yeah?
121,LUKE,121,"This R2 unit has a bad motivator.
Look!"
122,OWEN,122,"Hey, what're you trying to push on
us?"
123,THREEPIO,123,"Excuse me, sir, but that R2 unit is
in prime condition. A real bargain."
124,LUKE,124,Uncle Owen...
125,OWEN,125,Yeah?
126,LUKE,126,What about that one?
127,OWEN,127,"What about that blue one? We'll take
that one."
128,LUKE,128,"Yeah, take it away."
129,THREEPIO,129,"Uh, I'm quite sure you'll be very
pleased with that one, sir. He really
is in first-class condition. I've
worked with him before. Here he comes."
130,LUKE,130,"Okay, let's go."
131,THREEPIO,131,"Now, don't you forget this! Why I
should stick my neck out for you is
quite beyond my capacity!"
132,THREEPIO,132,"Thank the maker! This oil bath is
going to feel so good. I've got such
a bad case of dust contamination, I
can barely move!"
133,LUKE,133,"It just isn't fair. Oh, Biggs is
right. I'm never gonna get out of
here!"
134,THREEPIO,134,Is there anything I might do to help?
135,LUKE,135,"Well, not unless you can alter time,
speed up the harvest, or teleport me
off this rock!"
