,character,line #,line
170,BEACH,170,"Let's give them a little more
time."
171,CHEKOV,171,Khan!
172,KHAN,172,"I don't know you. But you. I never
forget a face. Mister Chekov,
isn't it?"
173,KHAN,173,"I never thought to see your face
again."
174,TERRELL,174,"Chekov, who is this man?"
175,CHEKOV,175,"A criminal, Captain -- a product of
the late 20th Century genetic
engineering --"
176,TERRELL,176,What do you want with us? I demand --
177,KHAN,177,"You are in a position to demand
nothing, sir. I, on the other hand,
am in a position to grant nothing.
What you see is all that remains of
the ship's company and the crew of the"
178,"Botany Bay
, marooned here fifteen",178,years ago by Captain James T. Kirk.
179,TERRELL,179,Listen to me -- you men and women --
180,KHAN,180,"Save your strength, Captain, these
people have sworn to live and die at
my command two hundred years before
you were born. Do you mean he..."
181,KHAN,181,"... never told you the tale?
To amuse you, Captain? Never told
you how the"
182,Enterprise,182,picked up the
183,"Botany Bay
, lost in space from the",183,"year 1996, myself and the ship's
company in cryogenic freeze?"
184,TERRELL,184,I've never even met Admiral Kirk --
185,KHAN,185,Admiral? He didn't tell you how
186,Admiral,186,"Kirk sent seventy of us into
exile on this barren sand heap with
only the contents of these cargo bays
to sustain us?"
187,CHEKOV,187,"You lie! On Ceti Alpha V there was
life, a fair chance to --"
188,"KHAN
This is Ceti Alpha V
! Ceti Alpha VI",188,"exploded six months after we were
left here. The shock shifted the
orbit of"
189,this,189,"planet and everything
was laid waste."
190,Admiral,190,"Kirk never
bothered to check on our progress.
It was only the fact of my genetically
engineered intellect that enabled us
to survive! On earth, two hundred
years ago, I was a prince, with power
over millions -- now, like Prometheus
I have been left by Admiral Kirk to
digest my own entrails."
191,CHEKOV,191,"Captain Kirk was your host! You repaid
his hospitality by trying to steal his
ship and murder him."
192,KHAN,192,"And I'll wager he never told you
about his shipmate, the beautiful
and courageous Lieutenant McGiver,
who gave up everything to join me
in exile. OUT OF LOVE. And see how"
193,Admiral Kirk,193,"requited her devotion --
She's dead as earth!"
194,KHAN,194,A plague upon you all.
195,KHAN,195,"You didn't expect to find me.
You thought this was Ceti Alpha VI.
Why are you here?"
196,KHAN,196,Why?
197,KHAN,197,No matter.
198,KHAN,198,"You will soon tell me willingly
enough."
199,KHAN,199,"Let me introduce you to Ceti Alpha V's
only remaining indigenous life form;
what do you think? They've killed
twenty of my people, including my
beloved wife. Oh, not all at once
and not instantly, to be sure. Their
young enter through the ears and wrap
themselves around the cerebral cortex.
This has the effect of rendering the
victim"
