,character,line #,line
219,MAN,219,"Signal Daedalus. We just got her,
she made contact. Initiating phone
trace."
220,NATHAN,220,"Charly, don't talk, just listen: We
have to meet, understand? We have to
meet *right away*."
221,SAMANTHA (O.S.),221,"Meet me off I-79. Highmile exit,
Salt & Pepper Lounge. Eleven a.m."
222,NATHAN,222,A former student... is in trouble.
223,SAMANTHA,223,"What's this? What the hell is this...?
We don't have time for this, of all
the cocksucking bullshit --"
224,HENESSEY,224,"Whoa. Ms. Class, drive a little truck
on the side, do you?"
225,SAMANTHA,225,"What are you, a Mormon?"
226,HENESSEY,226,"No, ma'am, it's just that... well,
when we met you're all, ""Oh, fooey,
I burned the darn cupcakes."" Now,
you go into a bar, ten minutes later
sailors come running out, they can't
take it."
227,HENESSEY,227,"What the hell...? Lemme check the
scanner."
228,VOICE (O.S.),228,"...without endangering the hostages,
over... ...Roger that two-niner. PCP
confirmed, he's on a fuse, please
provide backup, over... ...Conneaut,
I'm waiting on Special Weapons, sorry,
over..."
229,COP VOICE (O.S.),229,"GIVE YOURSELF UP AT ONCE. LEAVE THE
BUILDING, HANDS ON HEAD. DROP THE
WEAPON, REPEAT, DROP THE WEAPON."
230,MR. SHOTGUN,230,"I'm the man! I'm the man! I elicit
the explicit!"
231,SAMANTHA,231,Go up this hill.
232,HENESSEY,232,Why?
233,SAMANTHA,233,*Drive up the fucking hill*.
234,HENESSEY,234,Where the shit did you get that?
235,HENESSEY,235,"Sam, Goddammit, you're gonna kill
someone! Hey!"
236,HENESSEY,236,"The diner...? That's half a mile
away, are you fucking crazy?"
237,SAMANTHA,237,"HK M-40 assault rifle. At three
hundred yards, vertical drop six
inches."
238,SAMANTHA,238,Shit. He's gonna do the girl.
239,HENESSEY,239,How the fuck can you tell?
240,SAMANTHA,240,I read lips.
241,SAMANTHA,241,See? Took care of it. Knew I could.
242,SAMANTHA,242,Pull over.
243,SAMANTHA,243,"Had to, he... he would've killed
her... Had to... Oh God I took him,
such a good shot... I felt proud of
it, such a shot, Jesus, *how could I
be proud*...?"
244,SAMANTHA,244,I'm scared... I want to go home...
245,PRESIDENT,245,*Mister Perkins*.
246,PRESIDENT,246,"Please, say it again, I'm a little
slow. Better yet, I'll try it. You
lost an operative, a trained
counterassassin, and you just saw
her on TV in a Christmas parade."
247,SILVER-HAIRED MAN,247,"On TV, that's correct. It's two weeks
old, intelligence just caught it."
248,PRESIDENT,248,"You recruited this woman in the late
seventies?"
249,SILVER-HAIRED MAN,249,"For Chapter, yes. I was a friend of
her father's, you see, and... I took
her in."
250,PRESIDENT,250,"Well, it looks like she returned the
favor, now doesn't it?"
251,PRESIDENT,251,"Unbelievable. You people, you dump
this on me, then next week you're
screaming, ""Where's our funding?""
Shit. I'll tell you where it is, can
you say health care?"
252,CIA DIRECTOR,252,"Mr. President, please calm down. The
CIA bears no responsibility for this
problem."
253,PRESIDENT,253,"Thanks for sharing, Kent. How many
double agents you got on the payroll,
last count...?"
254,CIA DIRECTOR,254,"Sir! That controversy has been
thoroughly dealt with, and if there
still exists a leak, perhaps this...
woman agent of his --"
255,SILVER-HAIRED MAN,255,"If I may, sir, Colonel Baltimore
hasn't had classified access since
1987."
