,character,line #,line
519,ROBBIE,519,"Here, grab my hand!! Hold on! I got
you! HOLD ON!!!"
520,ROBBIE,520,TAKE MY HAND!! TAKE IT!!!
521,CAPTAIN,521,"Oh, my god!"
522,RAY,522,(fearing danger to his son) ROBBIE!!!
523,RAY,523,Help me. Help me with her.
524,ROBBIE,524,(gagging) Okay.
525,RAY,525,Don't stop. Don't stop.
526,ROBBIE,526,(yells in pain) AHHH.
527,RACHEL,527,"Robbie, slow down."
528,RACHEL,528,"Robbie, slow down!!!"
529,RACHEL,529,Robbie.
530,RAY,530,Robbie. We got to stay together Robbie.
531,RAY,531,Robbie! Stay together! ROBBIE!!!
532,RAY,532,GET BACK HERE!!!
533,RACHEL,533,Robbie!! NO!! ROBBIE!!! COME BACK!!!
534,RAY,534,"ROBBIE!!! (sets Rachel down next to
a tree) NOW DON'T MOVE! FOR GOD'S SAKE,
STAY RIGHT HERE! I'M COMING RIGHT BACK!
(calling out for him) ROBBIE!!!"
535,RAY,535,ROBBIE!!! ROBBIE!!!
536,RAY,536,WHY ARE YOU DOING THIS???
537,RAY,537,"LISTEN TO ME! TURN AROUND! I WANT YOU
TO LISTEN TO ME!"
538,RAY,538,LISTEN TO ME!
539,RAY,539,DON'T DO THIS! I LOVE YOU!
540,ROBBIE,540,I NEED TO BE HERE! I NEED TO SEE THIS!!
541,RAY,541,"I KNOW IT SEEMS LIKE YOU HAVE TO BUT
YOU DON'T!!!"
542,ROBBIE,542,LET ME GO!!!
543,RAY,543,YOU DON'T!!!
544,ROBBIE,544,PLEASE LET ME GO!!!
545,RAY,545,"I'M NOT LETTING YOU DO THIS!! YOU CAN
HATE ME....."
546,RAY,546,... YOU CAN HATE ME. BUT I LOVE YOU!!
547,ROBBIE,547,LET ME GO PLEASE!!!
548,RAY,548,I'M NOT LETTING YOU DO THIS!!!
549,ROBBIE,549,DAD!!
550,RAY,550,Just listen to me!
551,ROBBIE,551,I need to be here! I want to see this!
552,RAY,552,"Wait, stay. Stay for Rachel. Stay for
your sister."
553,ROBBIE,553,"Please let me go! You need to let me
go."
554,RAY,554,"GET OFF!!! I'M HER FATHER!!! I'M HER
FATHER!!!"
555,WOMAN,555,We thought she was alone... we....
556,RAY,556,Robbie?!?!
557,RAY,557,ROBBIE!!!
558,HARLAND,558,Over here! OVER HERE!!!
559,HARLAND,559,Hurry!!
560,HARLAND,560,(to Rachel) You all right?
561,HARLAND,561,(to Ray) And what about you?
562,RAY,562,"(while Harland moves the wheel barrel)
(to Rachel) There you go. Is that comfortable?
I need you to close your eyes now, okay?
You need some sleep."
563,RACHEL,563,Dad?
564,RAY,564,"He's gonna meet us. Hey, Robbie's gonna
meet us, Rach, In Boston, at your grandma's."
565,RACHEL,565,"(about ready to cry) What do you think
mom's doing right this minute?"
566,RAY,566,"Mom? She's in Boston. Waiting. And I
know she's not sleeping 'cause she is
so worried about you. (trying to comfort
her) ... And she's in grandma's kitchen,
and she's making that awful tea that
she makes. And they're all just... ...
...there all just counting the minutes
until they see you again."
567,RAY,567,"(picking up the ribbon) What is this?
What... What is this?"
568,RACHEL,568,I won.
569,RAY,569,You won?
570,RACHEL,570,"The walk, trot, and canter. Third place."
571,RACHEL,571,"Sing me ""Lullaby and Goodnight""?"
572,RAY,572,"(shakes his head in displeasure because
he can't think of it) I don't remember
that one."
573,RACHEL,573,"Sing me ""Hushabye Mountain""?"
574,RAY,574,"I'm sorry Rach, I don't know that one
either."
575,RAY,575,"(begins to sing) I'm not bragging, baby.
So don't put me down. Because I've got
the fastest set of wheels in the town.
Something comes up to me that don't
even try...."
576,RAY,576,"(continues singing) ... If I had a set
of wings, man, I know she could fly.
She's my little deuce coupe. You don't
know what I've got... just my little
deuce coupe. (now whispering) You don't
know what I've got...."
577,HARLAND,577,Peach schnapps.
578,HARLAND,578,"Disgusting, I know it. I found a whole
case of this shit."
579,RAY,579,Thank you.
580,HARLAND,580,I'm sorry about your son.
581,RAY,581,"We got separated... he's gonna meet
us in umm... in Boston."
582,RAY,582,"Did you... (pauses) ... (whispers) Did
you loose anybody?"
583,HARLAND,583,All of them.
584,HARLAND,584,(introduces himself) Harland Ogilvy.
585,RAY,585,(introduces himself) Ray Ferrier.
586,HARLAND,586,"I got water... Food.... Enough for weeks.
You're welcome to stay, both of yous."
587,RAY,587,I'm sorry. I'm gonna get some sleep.
588,HARLAND,588,"(speaks loud enough to get Ray to pause)
Those machines, those tripods they got...
They buried them... right under our
feet. Since before there were even people
here. They've been planning this for
a million years. We're beat to shit."
589,RAY,589,"Please, my daughter."
590,HARLAND,590,"Think about it.    ...    They defeated
the greatest power in the world in a
couple days. Walked right over us.
....    And these are only the first,
they'll keep coming. This is not a war
any more than there's a war between
men and maggots. This is an extermination."
591,HARLAND,591,"(feeling he's not grasping the reality)
Are you afraid?"
592,RAY,592,Of course I am.
593,HARLAND,593,"(going on) I been around death plenty.
Drive an ambulance in the city. Well,
drove and ambulance in the city. That's
all over now, huh?    ....   You know
the people who make it Ray? The ones
that don't flatline before the hospital?
It's the ones who keep their eyes open,
keep looking at you, keep thinking.
....    There the ones who survive...
....   We can' t loose our heads
Ray.   ....   Running, that's what'll
kill you.    ......     I'm dead set
on livin'."
594,HARLAND,594,Hah. Dead set on Living.
595,RAY,595,Thank you for taking us in.
596,HARLAND,596,We're not going to be exterminated.
597,HARLAND,597,"(with shotgun at side) It's okay! Come
on, I wanna show you something!"
598,HARLAND,598,"We're gonna fight them Ray. They gotta
have a weakness. Come on, take a look."
599,HARLAND,599,"Somehow they killed a few of these things
in Osaka. That's what I heard. You telling
me the Japanese can figure it out but
we can't?"
600,HARLAND,600,"We can do it. We can get 'em. We can
figure it out."
601,RAY,601,Stay right there!
602,RAY,602,"I have a daughter! Why did you bring
us here?"
603,HARLAND,603,"To fight 'em together, Ray.   ....
Now we'll be the ones coming up from
underground. When the time is right,
we'll take 'em by supries, the way they
took us. We'll take 'em by surprise."
604,HARLAND,604,"We're right under their feet, Ray. Right
here, under their feet."
605,HARLAND,605,"You miss your mommy? I had a little
girl nearly your age. You know, if anything
happens to your daddy, I'll take care
of you."
606,RAY,606,Rachel!
