,character,line #,line
120,ARDELIA,120,"Damn. Wish I had time for a social
life."
121,CLARICE,121,Mr. Crawford?
122,CRAWFORD,122,"I've read your interim memo on Lecter.
You sure you've left nothing out?"
123,CLARICE,123,"It's all there, sir, practically
verbatim."
124,CRAWFORD,124,"Every word, Starling? Every gesture?"
125,CLARICE,125,Right down to the kleenex I used.
126,CLARICE,126,"Sir, why? Is something wrong?"
127,CRAWFORD,127,"He mentioned a name, at the very
end. ""Mofet..."" Any followup on her?"
128,CLARICE,128,"I spent all evening on the mainframe.
Lecter altered or destroyed most of
his patient histories, prior to
capture. No record of anyone named
Mofet. But ""Split City"" sounded like
it might have have something to do
with divorce. I tracked it down in
the library's catalogue of national
yellow pages."
129,CLARICE,129,"It's a mini-storage facility outside
Baltimore, where Lecter had his
practice."
130,CRAWFORD,130,"Well? Why aren't you there right
now?"
131,CLARICE,131,"Sir, that's a field job. It's outside
the scope of my assignment. And I've
got a test tomorrow on -"
132,CRAWFORD,132,"Do you recall my instructions to
you, Starling? What were they?"
133,CLARICE,133,"To complete and file my report by
0800 Wednesday. But sir -"
134,CRAWFORD,134,"Then do that, Starling. Do just
exactly that."
135,CLARICE,135,"Sir, what is it? There's something
you're not telling me."
136,CRAWFORD,136,Miggs has been murdered.
137,CLARICE,137,Murdered...? How?
138,CRAWFORD,138,"The orderly heard Lecter whispering
to him, all afternoon, and Miggs
crying. They found him at bed check.
He'd swallowed his own tongue...
Chilton is scared stiff the family
will file a civil rights lawsuit,
and he's trying to blame it on you.
I told the little prick your conduct
was flawless."
139,CRAWFORD,139,Starling...?
140,CLARICE,140,"I'm here, sir, I just - I don't know
how to feel about it."
141,CRAWFORD,141,"You don't have to feel any way about
it. Lecter did it to amuse himself.
Why not, what can they do? Take away
his books for awhile, and no jello..."
142,CRAWFORD,142,"I know it got ugly today. But this
is your report, Starling - take it
as far as you can. On your own time,
outside of class. Now carry on."
143,CLARICE,143,"Well God damn it! You old creep.
Creepo son of a bitch. Let Miggs
squirt you and see how you like it."
144,CRAWFORD,144,"I'll take over, Patricia. You get
some rest."
145,MR. YOW (V.O.),145,"Unit 31 was leased for ten years.
Pre-paid in full... The contract is
in the name of ""Miss Hester Mofet."""
146,CLARICE,146,"So no one's been in here since -
1980?"
147,MR. YOW,147,"Not to my knowledge. Privacy is a
great concern to my customers. But,
if you say this is an FBI matter..."
148,CLARICE,148,"I won't disturb anything, Mr. Yow, I
promise. Be gone before you know it."
149,MR. YOW,149,"We could return tomorrow, with my
son. Or perhaps some workmen...?"
150,CLARICE,150,"Would you hold these, please?"
151,MR. YOW,151,"It smells like mice... I think I
hear them, too - don't you?"
152,MR. YOW,152,You're going in there?
153,CLARICE,153,"Mr. Yow, if this door should fall
down -ha ha! - or anything else -
would you be kind enough to call
this number? It's our Baltimore field
office. They know you're here with
me... Do you understand?"
154,MR. YOW,154,"Might I suggest tucking your pants
into your socks? To prevent mouse
intrusion."
155,CLARICE,155,Good idea.
156,MR. YOW (O.S.),156,"Okay, Miss Starling?"
157,CLARICE,157,"Okay, Mr. Yow..."
158,MR. YOW (O.S.),158,"You're playing a piano, Miss Starling?"
159,CLARICE,159,That wasn't me.
160,MR. YOW (O.S.),160,Oh.
161,CLARICE,161,"Mr. Yow? Oh Mr. Yow...? It looks
like somebody is sitting in this
car."
162,MR. YOW (O.S.),162,"Oh my! Oh my... Maybe you better
come out now, Miss Starling."
163,CLARICE,163,Not yet! - just wait for me.
164,CLARICE,164,Maybe in about two seconds.
165,CLARICE,165,"Well, Toto, we're not in Kansas
anymore."
166,CLARICE (O.S.),166,"It's an anagram, isn't it, Doctor?"
167,CLARICE,167,"Hester Mofet... ""The rest of me.""
Miss The-Rest-of-Me... Meaning, you
rented that place."
168,CLARICE,168,"You put those - things in there.
Paid for it in advance, ten years
ago... Why, Dr. Lecter?"
169,CLARICE,169,Thank you.
170,DR. LECTER,170,Your bleeding has stopped.
171,CLARICE,171,How did -
172,CLARICE,172,It's nothing. A scratch.
173,DR. LECTER,173,"Why don't you ask me about Buffalo
Bill?"
174,CLARICE,174,"Why? Do you know something about
him?"
175,DR. LECTER,175,"I might if I saw the case file. You
could get that for me."
176,CLARICE,176,"Why don't you tell me about ""Miss
Mofet?"" You wanted me to find him.
Or do I have to wait for the lab?"
177,DR. LECTER,177,"His real name is Benjamin Raspail. A
former patient of mine, whose romantic
attachments ran to, shall we say,
the exotic...? I didn't kill him,
merely tucked him away. Very much as
I found him, in that ridiculous car,
in his own garage, after he's missed
three appointments. You'd have him
under ""Missing Person"" - which, in
poor Raspail's case, could hardly be
more true."
178,CLARICE,178,"If you didn't kill him, then who
did?"
179,DR. LECTER,179,"Who can say...? Best thing for him,
really. His therapy was going nowhere."
180,CLARICE,180,"Wouldn't it have been easier to just
leave him for the police to find?"
181,DR. LECTER,181,"And have them clomping about in my
life? Oh dear, no... At that time I
still had certain private amusements
of my own."
182,DR. LECTER,182,"How did you feel when you saw him,
Clarice? May I call you Clarice?"
183,CLARICE,183,"Scared, at first. Then - exhilarated."
184,DR. LECTER,184,Ahhh... Why?
185,CLARICE,185,Because you weren't wasting my time.
186,DR. LECTER,186,"Do you have something you use, when
you need to get up your courage?
Memories, tableaux... scenes from
your early life?"
187,CLARICE,187,"I don't know. Next time I'll have to
check."
188,DR. LECTER,188,"Jack Crawford is helping your career,
isn't he? Apparently he likes you.
And you like him, too."
189,CLARICE,189,I never thought about it.
190,DR. LECTER,190,"Your first lie to me, Clarice. How
sad. Tell me - do you think Crawford
wants you, sexually? True, he's much
older, but - do you think he
visualizes... scenarios, exchanges...?
Fucking you?"
191,CLARICE,191,"That doesn't interest me, Doctor.
And it's the sort of thing Miggs
would ask."
192,DR. LECTER,192,Not anymore.
193,DR. LECTER,193,"Surely the odd confluence of events
hasn't escaped you, Clarice. Crawford
dangles you before me. Then I give
you a bit of help. Do you think it's
because I like to look at you, and
imagine how good you would taste...?"
194,CLARICE,194,I don't know. Is it?
195,DR. LECTER,195,"Or doesn't this all begin to suggest
to you a kind of... negotiation?
There's something Crawford can give
me, and I want to trade for it. I
even wrote to him, offering my help.
But he hates me, so he won't deal
directly."
